features,dataset_and_task,n_valid,rogi
chemberta,DOCKSTRING/F10,10000,0.22225521688815839
chemberta,DOCKSTRING/F10,10000,0.22169191004201055
chemberta,DOCKSTRING/F10,10000,0.2171769097728883
chemberta,DOCKSTRING/F10,10000,0.22072102870265767
chemberta,DOCKSTRING/F10,10000,0.22924658896684907
chemberta,DOCKSTRING/NR3C1,10000,0.06950811659891828
chemberta,DOCKSTRING/NR3C1,10000,0.07196222408610119
chemberta,DOCKSTRING/NR3C1,10000,0.07461870534871477
chemberta,DOCKSTRING/NR3C1,10000,0.07180679768254757
chemberta,DOCKSTRING/NR3C1,10000,0.06229731735076663
chemberta,DOCKSTRING/KIT,10000,0.2106835741562652
chemberta,DOCKSTRING/KIT,10000,0.20503017734904688
chemberta,DOCKSTRING/KIT,10000,0.2353802368834511
chemberta,DOCKSTRING/KIT,10000,0.20208312694757563
chemberta,DOCKSTRING/KIT,10000,0.19662441490611193
chemberta,DOCKSTRING/PPARA,10000,0.19873203958413801
chemberta,DOCKSTRING/PPARA,10000,0.23234975035624023
chemberta,DOCKSTRING/PPARA,10000,0.21268990573707033
chemberta,DOCKSTRING/PPARA,10000,0.23675111397626308
chemberta,DOCKSTRING/PPARA,10000,0.202003986258751
chemberta,DOCKSTRING/PTK2,10000,0.20015852334999573
chemberta,DOCKSTRING/PTK2,10000,0.21542624185350182
chemberta,DOCKSTRING/PTK2,10000,0.20393928063431652
chemberta,DOCKSTRING/PTK2,10000,0.22363621857123825
chemberta,DOCKSTRING/PTK2,10000,0.22288905470903897
